Model,MSO64
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-11
Record Length,2500
Zero Index,249.84765625
Vertical Units,V
ANALOG_Thumbnail,

TIME,CH1
8.92609375e-09,5.32578125e-04
8.96609375e-09,5.28593750e-04
9.00609375e-09,4.87421875e-04
9.04609375e-09,4.19687500e-04
9.08609375e-09,3.55937500e-04
9.12609375e-09,3.25390625e-04
9.16609375e-09,3.34687500e-04
9.20609375e-09,3.61250000e-04
9.24609375e-09,3.70546875e-04
9.28609375e-09,3.42656250e-04
9.32609375e-09,2.81562500e-04
9.36609375e-09,2.12500000e-04
9.40609375e-09,1.55390625e-04
9.44609375e-09,1.23515625e-04
9.48609375e-09,1.15546875e-04
9.52609375e-09,1.43437500e-04
9.56609375e-09,2.28437500e-04
9.60609375e-09,3.85156250e-04
9.64609375e-09,5.89687500e-04
9.68609375e-09,7.62343750e-04
9.72609375e-09,8.11484375e-04
9.76609375e-09,7.01250000e-04
9.80609375e-09,4.98046875e-04
9.84609375e-09,3.49296875e-04
9.88609375e-09,3.91796875e-04
9.92609375e-09,6.37500000e-04
9.96609375e-09,9.42968750e-04
1.00060937e-08,1.08906250e-03
1.00460937e-08,9.42968750e-04
1.00860937e-08,5.52500000e-04
1.01260938e-08,1.31484375e-04
1.01660937e-08,-9.69531250e-05
1.02060937e-08,-5.31250000e-05
1.02460937e-08,1.46093750e-04
1.02860937e-08,2.92187500e-04
1.03260937e-08,2.56328125e-04
1.03660937e-08,8.76562500e-05
1.04060937e-08,-3.45312500e-05
1.04460937e-08,4.51562500e-05
1.04860937e-08,3.33359375e-04
1.05260937e-08,6.80000000e-04
1.05660937e-08,9.00468750e-04
1.06060938e-08,9.13750000e-04
1.06460937e-08,7.79609375e-04
1.06860937e-08,6.28203125e-04
1.07260937e-08,5.48515625e-04
1.07660937e-08,5.31250000e-04
1.08060937e-08,5.11328125e-04
1.08460937e-08,4.47578125e-04
1.08860937e-08,3.69218750e-04
1.09260937e-08,3.36015625e-04
1.09660937e-08,3.75859375e-04
1.10060937e-08,4.55546875e-04
1.10460937e-08,5.03359375e-04
1.10860938e-08,4.76796875e-04
1.11260937e-08,3.94453125e-04
1.11660937e-08,3.06796875e-04
1.12060937e-08,2.53671875e-04
1.12460937e-08,2.40390625e-04
1.12860937e-08,2.39062500e-04
1.13260937e-08,2.36406250e-04
1.13660937e-08,2.32421875e-04
1.14060937e-08,2.41718750e-04
1.14460937e-08,2.57656250e-04
1.14860937e-08,2.70937500e-04
1.15260937e-08,2.77578125e-04
