Model,MSO64
Channel,CH1,,Channel,CH2,,Channel,CH3
Waveform Type,ANALOG,,Waveform Type,ANALOG,,Waveform Type,ANALOG
Horizontal Units,s,,Horizontal Units,s,,Horizontal Units,s
Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11,,Sample Interval,4.00000000e-11
Record Length,50000,,Record Length,50000,,Record Length,50000
Zero Index,4499.77734375,,Zero Index,4499.77734375,,Zero Index,4499.77734375
Vertical Units,V,,Vertical Units,V,,Vertical Units,V
,,,,,,,
ANALOG_Thumbnail,,,ANALOG_Thumbnail,,,ANALOG_Thumbnail,

TIME,CH1,CH2,CH3
-1.74431094e-07,4.98437500e-04,2.02087500e-02,2.73437500e-05
-1.74391094e-07,5.60937500e-04,2.00968750e-02,-1.79687500e-05
-1.74351094e-07,7.10937500e-04,2.00606250e-02,1.95312500e-05
-1.74311094e-07,8.87500000e-04,2.01312500e-02,9.29687500e-05
-1.74271094e-07,9.76562500e-04,2.02737500e-02,1.34375000e-04
-1.74231094e-07,8.95312500e-04,2.04037500e-02,1.10156250e-04
-1.74191094e-07,6.35937500e-04,2.04375000e-02,3.82812500e-05
-1.74151094e-07,2.92187500e-04,2.03418750e-02,-3.43750000e-05
-1.74111094e-07,4.68750000e-06,2.01618750e-02,-7.50000000e-05
-1.74071094e-07,-1.09375000e-04,2.00006250e-02,-8.59375000e-05
-1.74031094e-07,-2.34375000e-05,1.99575000e-02,-9.37500000e-05
-1.73991094e-07,1.84375000e-04,2.00612500e-02,-1.14843750e-04
-1.73951094e-07,3.78125000e-04,2.02512500e-02,-1.38281250e-04
-1.73911094e-07,4.45312500e-04,2.04106250e-02,-1.37500000e-04
-1.73871094e-07,3.65625000e-04,2.04406250e-02,-1.00000000e-04
-1.73831094e-07,2.32812500e-04,2.03268750e-02,-3.98437500e-05
-1.73791094e-07,1.81250000e-04,2.01468750e-02,1.09375000e-05
-1.73751094e-07,2.90625000e-04,2.00187500e-02,3.98437500e-05
-1.73711094e-07,5.15625000e-04,2.00200000e-02,6.32812500e-05
-1.73671094e-07,7.04687500e-04,2.01393750e-02,1.10937500e-04
-1.73631094e-07,7.04687500e-04,2.02850000e-02,1.89843750e-04
-1.73591094e-07,4.76562500e-04,2.03531250e-02,2.60937500e-04
-1.73551094e-07,1.34375000e-04,2.02981250e-02,2.65625000e-04
-1.73511094e-07,-1.21875000e-04,2.01625000e-02,1.75781250e-04
-1.73471094e-07,-1.39062500e-04,2.00425000e-02,2.73437500e-05
-1.73431094e-07,8.90625000e-05,2.00168750e-02,-9.21875000e-05
-1.73391094e-07,4.21875000e-04,2.00987500e-02,-1.05468750e-04
-1.73351094e-07,6.78125000e-04,2.02262500e-02,-7.81250000e-06
